,Ono_O0,Ono_O3,Ono_Oz,O_O0,O_O3,O_Oz,Oun_O0,Oun_O3,Oun_Oz
0,327.3631796433566,300.2281525826796,245.87372003343626,296.7557166272767,297.68133385950154,292.3079264636871,296.7963184601028,274.0803739596705,266.08292150924643
1,331.3702623331557,288.0475986550689,290.5903774602515,283.90991936128506,270.2916853234466,284.6507930270062,280.14568068132354,229.86515107881326,279.83564519295817
2,248.22146526199649,301.3667121855515,243.65984825200042,236.88052080016078,289.30871469277696,295.66459990906213,293.4742419353631,225.0944585223382,216.02099600508848
3,261.26001592609504,304.6372438582236,233.1801608123471,237.5501835236188,297.0320807724962,293.44423249720063,271.9100811008534,229.64189998158045,200.65872407673038
4,247.41019415776393,283.94887665535225,234.54677370061455,239.50467631676983,289.3055022382363,291.7178456702702,256.9822831730983,230.53835731924312,208.32605612692845
5,250.0536916584307,304.3608887443217,227.23798660454912,238.26563991734542,292.2352215456701,267.77317203248566,246.56295279658067,230.26720081312237,234.02372562282187
6,243.70946841902352,307.6586596346714,229.64314788460942,236.35754697628053,288.10550244865544,252.34691141508156,262.7297447217786,233.75372301834636,223.43705116434012
7,246.21714058288484,292.91946018236,230.29906182929707,232.64298853301258,300.600812685512,248.5513889854786,245.78136798079174,233.83688047635172,222.41327125837614
8,244.82617492552077,288.1927674870905,230.20402933372853,229.32022996692996,299.69690565552946,242.24810889645713,244.98861256941674,229.14395797133778,221.75182041031348
9,248.74331995322765,272.14798488188217,229.58801301004442,234.37341438349853,262.4539827958725,246.21371230684937,238.64950816430158,228.63749939754507,224.69383653806634
10,245.78881442431114,294.0093500807877,230.07861607680164,259.20606307477203,291.84218590216034,247.01212197230814,249.56842244187496,234.5166829103039,226.22865922659813
11,248.35146708456105,299.96130481492304,235.8623484878656,236.7757249258428,276.3443563995817,245.92640071352972,241.99658215447917,235.57642893202515,229.5005490198011
12,246.620404807163,271.4301511492474,239.9765234798314,239.93796439378073,296.127146742924,238.70863067672394,243.85053444970006,241.39588817930016,233.96758540400623
13,250.42213457082468,298.9547394428013,239.4617866084809,237.48152337278367,274.298964458671,244.4572273919756,238.46264029980333,236.8738159235627,231.6495047241077
14,284.70011272204613,270.87365227503807,238.89862231834107,228.13321841272108,299.7025527577131,250.77602994677932,239.17586722502253,240.30601038681687,257.0676666780499
15,244.7050338256841,268.91751431627665,243.739561156601,231.71860731615092,301.7904051853209,237.57091340594584,246.3947335092466,239.07561829491914,234.58014482009182
16,255.63409603217218,251.23287772491443,239.00548255947925,242.53819182921995,280.7611176968226,259.48897851465466,244.22462969280926,241.1020711280128,236.87795131903644
17,249.96193295053425,287.7793555713169,251.48310136232223,240.06590294176266,287.64414233116315,247.072183251119,247.3104747362624,235.5520565388704,243.9617115864919
18,252.6737239420474,272.90020083956387,241.51150237208228,242.590788939871,296.74513073625195,248.35384109756106,246.89102809127164,239.5907398232676,243.8642996191181
19,254.5730221338114,270.0131307343758,252.4636758683134,243.21599482238653,279.17979013515003,246.56042458325186,241.14838161067104,236.96832565884858,247.2419695457725
20,259.1474450969477,280.18771871853914,249.47285802952737,251.0633904695336,292.60136359347797,253.13277876208534,246.50800477764838,248.5748037930629,245.66856755040612
21,260.464911068055,271.305165171362,245.6222614287359,255.40938192058044,281.66069142366774,250.5272422638577,244.11335076511455,245.9148133826973,248.23439953866117
22,252.25832828391125,279.4528188064155,256.3249189940956,256.21360532410745,270.79219422920096,253.96036755808476,245.69754998101314,246.6451196282597,253.76985409202473
23,284.053904065257,282.56958430072217,251.74196857940726,252.77419430422648,285.82465875318996,258.2962971435013,256.8395575940774,251.00615825362635,253.0460282531393
24,282.92668884946903,299.0444790936151,253.62041982032892,255.17248845098695,289.8631559215429,249.58784640280228,248.40748048141435,247.19209616404515,254.84777874639184
25,288.1026031398626,297.35829850093984,255.27895544130192,256.7939651675981,292.3938681113141,250.4267078381322,251.8763133931072,254.3241501178022,264.3924478053731
26,261.68315531170754,275.5984159777001,251.79539283085077,257.86456182015905,281.71025917870236,267.28795087954427,260.02496837506345,260.8939498938294,254.91562355554035
27,269.64530501162966,293.34884630464154,266.50802260624147,258.8360474863303,268.970675294496,264.6584972869982,254.88762522336887,254.63483001215909,256.712424481246
28,273.2151452762393,297.83550224731067,264.85047033269166,257.2177706228442,249.84914080182597,255.69748611905106,261.3692488600282,257.33789519691413,263.30627737489425
29,279.29421373146005,279.6302088602578,266.0385331793317,262.3730348683728,282.7591870207556,266.2498714246611,263.097704810448,265.0478289485148,262.1179685536193
